"Photon energy, eV","n","k"
0.23630439016753013,3.0234,21.403
0.24295380826363794,2.9501,20.796
0.24979185541069754,2.8817,20.205
0.25681833467924625,2.8181,19.629
0.2640433329778936,2.7589,19.068
0.2714724604959377,2.7041,18.521
0.27911165312149594,2.6535,17.988
0.28696057823704973,2.6068,17.468
0.2950388773602544,2.5638,16.963
0.3033400715217863,2.5246,16.47
0.3118706764761658,2.4888,15.99
0.32064599641321984,2.4564,15.522
0.3296662698638616,2.4273,15.067
0.3389398234912513,2.4013,14.623
0.3484757509573055,2.3783,14.191
0.3582840266814036,2.3582,13.77
0.3683646902165895,2.3409,13.361
0.3787280063325892,2.3264,12.962
0.38938534415721776,2.3145,12.573
0.40033641405585957,2.3052,12.195
0.4115930930953082,2.2984,11.827
0.42318310954024063,2.294,11.469
0.435078034295188,2.2921,11.12
0.44732181489013856,2.2924,10.781
0.4599161192710873,2.2951,10.451
0.4728430930670062,2.3,10.129
0.4861553049958817,2.307,9.8172
0.49983546637008547,2.3163,9.5136
0.5139027913168355,2.3276,9.2186
0.528356717945537,2.341,8.932
0.5432184868257085,2.3565,8.6537
0.5585124889999536,2.374,8.3835
0.5742135394271014,2.3934,8.1213
0.5903727795490677,2.4147,7.8671
0.6069920074077142,2.4379,7.6208
0.6240710093778614,2.4629,7.3823
0.6416072626428261,2.4896,7.1515
0.6596658017190727,2.518,6.9283
0.6782133769109989,2.5481,6.7128
0.6973238888250828,2.5796,6.5049
0.7169202465196005,2.6125,6.3045
0.7370797659657554,2.6466,6.1116
0.7578495564370399,2.682,5.9262
0.779137732879405,2.7183,5.7482
0.8010866927253325,2.7555,5.5777
0.8235963028636888,2.7933,5.4145
0.8467708471049018,2.8316,5.2586
0.8706143348999348,2.8702,5.1099
0.8951280588628959,2.9089,4.9683
0.9203101798775216,2.9474,4.8338
0.9461552765041187,2.9856,4.7062
0.972806492217338,3.0233,4.5854
1.0001951228872192,3.0602,4.4712
1.028317055926845,3.0961,4.3635
1.0572540925479637,3.1309,4.262
1.08700848179116,3.1644,4.1666
1.1175787581855032,3.1964,4.077
1.1489592014929082,3.2268,3.9931
1.1813643395245326,3.2554,3.9145
1.2145786386471367,3.2822,3.8412
1.248745429241489,3.307,3.7728
1.283878921332709,3.3298,3.7091
1.3199917749031143,3.3505,3.6499
1.3571394357640871,3.369,3.5951
1.3953226806340493,3.3853,3.5442
1.434570469917614,3.3994,3.4973
1.474931150391974,3.4113,3.454
1.516422101406535,3.4209,3.4142
1.5590984675263724,3.4282,3.3777
1.6029605211979743,3.4332,3.3443
1.6480465158392112,3.436,3.3139
1.6944211916183747,3.4366,3.2863
1.742084971660808,3.4348,3.2614
1.7911095812472873,3.4308,3.239
