4.699931707096295597e+00 1.824999999999999956e+00 4.174999999999999822e+00
4.675120604570146554e+00 1.854000000000000092e+00 4.261999999999999567e+00
4.650570083765951601e+00 1.899000000000000021e+00 4.341000000000000192e+00
4.624550482402099760e+00 1.953999999999999959e+00 4.439000000000000057e+00
4.600526843532477095e+00 2.013999999999999790e+00 4.543000000000000149e+00
4.575062672811817777e+00 2.099000000000000199e+00 4.658999999999999808e+00
4.549878841585330846e+00 2.188000000000000167e+00 4.735000000000000320e+00
4.524970745737236122e+00 2.293000000000000149e+00 4.855000000000000426e+00
4.500333881422877269e+00 2.426000000000000156e+00 4.940999999999999837e+00
4.474348554067132611e+00 2.573999999999999844e+00 5.030999999999999694e+00
4.450258378793979119e+00 2.722999999999999865e+00 5.110999999999999766e+00
4.424846482269817471e+00 2.876999999999999780e+00 5.158000000000000362e+00
4.399723152349192645e+00 3.036999999999999922e+00 5.232999999999999652e+00
4.374883501524357676e+00 3.232000000000000206e+00 5.280000000000000249e+00
4.350322752042115049e+00 3.406000000000000139e+00 5.331999999999999851e+00
4.324527325887697060e+00 3.668000000000000149e+00 5.347000000000000419e+00
4.300527174235180716e+00 3.926000000000000156e+00 5.352999999999999758e+00
4.275317187351733494e+00 4.205000000000000071e+00 5.272000000000000242e+00
4.250401043304774973e+00 4.453999999999999737e+00 5.142000000000000348e+00
4.224333847809208287e+00 4.658999999999999808e+00 4.948999999999999844e+00
4.200006721991878855e+00 4.791000000000000369e+00 4.740000000000000213e+00
4.174552135797989116e+00 4.884999999999999787e+00 4.548000000000000043e+00
4.149404231365470430e+00 4.927999999999999936e+00 4.363999999999999879e+00
4.124557499441126929e+00 4.985000000000000320e+00 4.206000000000000405e+00
4.100006561944453232e+00 4.985999999999999766e+00 4.067000000000000171e+00
4.074406783871189042e+00 5.009000000000000341e+00 3.940999999999999837e+00
4.050447514968973373e+00 5.025000000000000355e+00 3.826999999999999957e+00
4.025460988090917347e+00 5.024000000000000021e+00 3.744000000000000217e+00
3.999490272038717986e+00 5.028999999999999915e+00 3.645000000000000018e+00
